o,h,l,c,v,timestamp
1403.800048828125,1407.0,1402.0,1407.0,0,2025-09-22 03:45:00+00:00
1406.0,1406.0999755859375,1404.4000244140625,1405.5,120510,2025-09-22 03:50:00+00:00
1405.800048828125,1408.0999755859375,1405.699951171875,1407.5999755859375,92330,2025-09-22 03:55:00+00:00
1407.199951171875,1407.5999755859375,1406.5,1407.0,56451,2025-09-22 04:00:00+00:00
1407.0,1408.199951171875,1406.800048828125,1408.199951171875,38147,2025-09-22 04:05:00+00:00
1408.199951171875,1408.4000244140625,1407.199951171875,1408.0,43221,2025-09-22 04:10:00+00:00
1408.0,1409.0999755859375,1407.4000244140625,1408.699951171875,110996,2025-09-22 04:15:00+00:00
1408.800048828125,1409.9000244140625,1407.5999755859375,1408.199951171875,72724,2025-09-22 04:20:00+00:00
1408.5999755859375,1409.800048828125,1408.0,1409.699951171875,38061,2025-09-22 04:25:00+00:00
1409.699951171875,1410.0,1409.199951171875,1409.800048828125,24256,2025-09-22 04:30:00+00:00
1409.800048828125,1410.300048828125,1408.199951171875,1409.5,40359,2025-09-22 04:35:00+00:00
1409.5,1409.5,1408.5,1409.0,15871,2025-09-22 04:40:00+00:00
1408.699951171875,1408.9000244140625,1408.0999755859375,1408.5,21179,2025-09-22 04:45:00+00:00
1408.5,1408.5,1408.0,1408.0,13148,2025-09-22 04:50:00+00:00
1408.0,1408.5,1407.9000244140625,1408.5,25003,2025-09-22 04:55:00+00:00
1408.5,1408.5,1408.199951171875,1408.5,15598,2025-09-22 05:00:00+00:00
1408.5,1408.5,1408.199951171875,1408.4000244140625,47877,2025-09-22 05:05:00+00:00
1408.5,1408.5,1408.199951171875,1408.4000244140625,19338,2025-09-22 05:10:00+00:00
1408.300048828125,1408.4000244140625,1406.199951171875,1406.699951171875,52814,2025-09-22 05:15:00+00:00
1406.5999755859375,1407.0,1406.300048828125,1406.4000244140625,33720,2025-09-22 05:20:00+00:00
1406.5,1407.0,1405.5999755859375,1407.0,42605,2025-09-22 05:25:00+00:00
1407.0,1407.4000244140625,1406.300048828125,1406.300048828125,27947,2025-09-22 05:30:00+00:00
1406.5999755859375,1406.699951171875,1404.699951171875,1405.0,112828,2025-09-22 05:35:00+00:00
1404.800048828125,1405.0,1404.0,1404.699951171875,59725,2025-09-22 05:40:00+00:00
1404.800048828125,1405.0,1403.5,1403.9000244140625,83960,2025-09-22 05:45:00+00:00
1403.9000244140625,1404.5999755859375,1403.0,1404.0,116740,2025-09-22 05:50:00+00:00
1404.300048828125,1404.800048828125,1404.0,1404.5999755859375,24080,2025-09-22 05:55:00+00:00
1404.5999755859375,1404.9000244140625,1403.4000244140625,1404.0999755859375,34619,2025-09-22 06:00:00+00:00
1404.0999755859375,1406.0,1404.0999755859375,1405.9000244140625,26468,2025-09-22 06:05:00+00:00
1405.9000244140625,1406.5999755859375,1405.9000244140625,1406.199951171875,26922,2025-09-22 06:10:00+00:00
1406.300048828125,1406.800048828125,1406.0,1406.300048828125,31704,2025-09-22 06:15:00+00:00
1406.199951171875,1406.9000244140625,1405.199951171875,1405.4000244140625,108163,2025-09-22 06:20:00+00:00
1405.4000244140625,1406.0,1403.5999755859375,1404.199951171875,319754,2025-09-22 06:25:00+00:00
1404.300048828125,1405.9000244140625,1402.5,1403.5,193846,2025-09-22 06:30:00+00:00
1403.5,1405.0999755859375,1403.4000244140625,1404.199951171875,77651,2025-09-22 06:35:00+00:00
1404.199951171875,1405.199951171875,1403.0999755859375,1404.199951171875,222371,2025-09-22 06:40:00+00:00
1404.0999755859375,1405.0,1404.0999755859375,1404.5999755859375,53837,2025-09-22 06:45:00+00:00
1404.5999755859375,1405.0,1404.4000244140625,1404.699951171875,39053,2025-09-22 06:50:00+00:00
1404.9000244140625,1405.199951171875,1404.0,1404.5999755859375,58834,2025-09-22 06:55:00+00:00
1404.5999755859375,1404.9000244140625,1404.5,1404.800048828125,20917,2025-09-22 07:00:00+00:00
1404.800048828125,1406.5999755859375,1403.699951171875,1406.199951171875,130243,2025-09-22 07:05:00+00:00
1406.300048828125,1406.5,1405.300048828125,1406.0,51033,2025-09-22 07:10:00+00:00
1405.800048828125,1406.699951171875,1405.5999755859375,1405.9000244140625,26825,2025-09-22 07:15:00+00:00
1405.9000244140625,1406.0,1405.199951171875,1405.699951171875,33759,2025-09-22 07:20:00+00:00
1405.5999755859375,1407.0,1405.199951171875,1406.0,122914,2025-09-22 07:25:00+00:00
1406.0999755859375,1407.9000244140625,1406.0,1406.5999755859375,121657,2025-09-22 07:30:00+00:00
1406.5999755859375,1407.300048828125,1406.0999755859375,1406.4000244140625,37948,2025-09-22 07:35:00+00:00
1406.300048828125,1407.9000244140625,1406.0,1407.300048828125,121936,2025-09-22 07:40:00+00:00
1407.4000244140625,1407.5999755859375,1404.5999755859375,1404.5999755859375,64957,2025-09-22 07:45:00+00:00
1404.5999755859375,1404.9000244140625,1404.4000244140625,1404.4000244140625,39978,2025-09-22 07:50:00+00:00
1404.5,1406.5999755859375,1403.5,1405.5999755859375,204691,2025-09-22 07:55:00+00:00
1405.699951171875,1406.0999755859375,1404.0,1404.699951171875,242890,2025-09-22 08:00:00+00:00
1404.699951171875,1405.5,1404.5,1405.0,21804,2025-09-22 08:05:00+00:00
1405.0,1405.0,1403.199951171875,1403.199951171875,72996,2025-09-22 08:10:00+00:00
1403.800048828125,1405.199951171875,1403.300048828125,1404.5999755859375,92441,2025-09-22 08:15:00+00:00
1404.5999755859375,1404.9000244140625,1404.0,1404.5999755859375,39420,2025-09-22 08:20:00+00:00
1404.5,1405.4000244140625,1403.0999755859375,1403.5999755859375,120905,2025-09-22 08:25:00+00:00
1403.5,1404.800048828125,1402.800048828125,1403.699951171875,169354,2025-09-22 08:30:00+00:00
1403.800048828125,1404.9000244140625,1402.5,1404.199951171875,324120,2025-09-22 08:35:00+00:00
1404.199951171875,1404.5,1403.5,1403.5,52378,2025-09-22 08:40:00+00:00
1403.5999755859375,1404.0,1402.0999755859375,1402.199951171875,105051,2025-09-22 08:45:00+00:00
1402.199951171875,1402.5,1400.199951171875,1400.300048828125,111031,2025-09-22 08:50:00+00:00
1400.4000244140625,1400.800048828125,1394.5999755859375,1394.5999755859375,264916,2025-09-22 08:55:00+00:00
1394.800048828125,1395.300048828125,1392.9000244140625,1393.0,133624,2025-09-22 09:00:00+00:00
1392.5999755859375,1392.800048828125,1390.5,1392.300048828125,107196,2025-09-22 09:05:00+00:00
1392.300048828125,1392.300048828125,1389.4000244140625,1389.800048828125,160102,2025-09-22 09:10:00+00:00
1389.800048828125,1392.300048828125,1388.0999755859375,1391.0,259042,2025-09-22 09:15:00+00:00
1391.0,1393.199951171875,1390.300048828125,1392.199951171875,123204,2025-09-22 09:20:00+00:00
1392.5,1392.800048828125,1390.800048828125,1392.300048828125,196662,2025-09-22 09:25:00+00:00
1392.5,1393.0,1389.699951171875,1392.0,351583,2025-09-22 09:30:00+00:00
1392.0,1392.800048828125,1390.0999755859375,1390.5,170325,2025-09-22 09:35:00+00:00
1390.5,1391.5999755859375,1390.0,1390.199951171875,135184,2025-09-22 09:40:00+00:00
1390.300048828125,1390.800048828125,1389.5,1390.300048828125,212409,2025-09-22 09:45:00+00:00
1390.0999755859375,1390.300048828125,1389.0,1389.9000244140625,161824,2025-09-22 09:50:00+00:00
1389.9000244140625,1391.0,1389.800048828125,1390.9000244140625,153156,2025-09-22 09:55:00+00:00
1391.0999755859375,1391.5,1387.0999755859375,1389.5999755859375,0,2025-09-23 03:45:00+00:00
1389.0999755859375,1391.5,1388.5,1390.800048828125,156014,2025-09-23 03:50:00+00:00
